index	segment
0.0	5e-05:6.52
1.0	6.52:6.92
2.0	6.92:6.96005
3.0	6.96005:8.72
4.0	8.72:9.96005
5.0	9.96005:10.120049999999999
6.0	10.120049999999999:10.52
7.0	10.52:11.04
8.0	11.04:14.84005
9.0	14.84005:14.88
10.0	14.88:15.040049999999999
11.0	15.040049999999999:15.52
12.0	15.52:16.760050000000003
13.0	16.760050000000003:18.64
14.0	18.64:18.68005
15.0	18.68005:21.72
16.0	21.72:22.20005
17.0	22.20005:24.2
18.0	24.2:25.00005
19.0	25.00005:25.480050000000002
20.0	25.480050000000002:25.68
21.0	25.68:27.6
22.0	27.6:30.56005
23.0	30.56005:33.4
24.0	33.4:36.44005
25.0	36.44005:37.92
