person	segment
0	[[1.567, 3.833], [5.2, 7.1], [8.133, 9.867], [11.267000000000001, 13.467], [192.2, 193.2], [197.6, 200.3], [264.467, 269.867], [269.9, 270.2], [274.933, 275.367], [275.233, 277.9], [277.933, 279.567], [285.7, 288.633], [298.467, 301.067], [310.767, 312.16700000000003], [319.133, 322.0], [392.667, 395.2]]
1	[[18.5, 19.433], [62.5, 66.167], [189.63299999999998, 190.36700000000002], [241.233, 248.767], [248.8, 251.033], [255.433, 257.933], [301.1, 307.8], [327.33299999999997, 328.43300000000005], [354.733, 363.63300000000004], [374.733, 391.3], [415.333, 417.767]]
2	[[3.867, 5.167000000000001], [7.132999999999999, 8.1], [9.9, 10.9], [10.667, 11.232999999999999], [70.967, 71.6], [73.267, 77.433], [84.23299999999999, 85.867], [87.867, 88.76700000000001], [91.1, 91.867], [98.6, 99.8], [104.73299999999999, 106.53299999999999], [107.833, 110.0], [114.26700000000001, 116.06700000000001], [123.333, 124.56700000000001], [131.233, 132.267], [137.733, 142.667], [146.3, 147.333], [147.567, 151.267], [153.967, 159.933], [164.63299999999998, 167.933], [172.267, 172.567], [173.63299999999998, 175.967], [176.0, 182.36700000000002], [185.5, 185.833], [185.86700000000002, 186.4]]
3	[[3.867, 5.167000000000001], [7.132999999999999, 8.1], [13.5, 14.267000000000001], [68.733, 69.3], [70.967, 73.233], [79.667, 84.167], [88.8, 90.0], [96.4, 98.56700000000001], [101.3, 104.7], [106.56700000000001, 107.167], [107.03299999999999, 107.8], [172.267, 172.7], [173.767, 174.7], [212.833, 215.067], [223.733, 227.63299999999998], [228.63299999999998, 229.967], [229.63299999999998, 235.433], [257.967, 259.5], [339.63300000000004, 340.9], [340.733, 341.333], [363.767, 365.667], [368.267, 369.7], [391.333, 392.63300000000004], [409.267, 410.1], [411.167, 411.533], [411.833, 413.36699999999996], [413.4, 413.533], [413.767, 414.8], [420.36699999999996, 421.9], [421.93300000000005, 426.06699999999995], [430.767, 432.0], [437.467, 441.63300000000004]]
4	[[3.867, 5.167000000000001], [75.8, 79.633], [84.23299999999999, 85.867], [87.73299999999999, 88.76700000000001], [91.1, 91.867], [94.43299999999999, 96.367], [99.833, 101.26700000000001], [110.03299999999999, 114.23299999999999], [116.1, 119.93299999999999], [121.23299999999999, 123.3], [126.56700000000001, 129.9], [130.2, 131.167], [132.3, 137.7], [142.7, 146.267], [239.733, 240.733], [248.8, 252.13299999999998], [259.533, 263.2], [269.9, 271.733], [271.767, 274.9], [278.4, 279.567], [279.6, 282.66700000000003], [282.5, 284.8], [344.4, 345.86699999999996], [443.333, 446.333], [444.7, 445.333], [447.767, 452.7], [452.733, 455.533], [458.93300000000005, 461.833], [461.86699999999996, 462.0]]
5	[[8.133, 8.732999999999999], [11.9, 12.9], [31.533, 33.0], [37.167, 38.433], [52.266999999999996, 53.333], [53.367, 53.567], [57.233000000000004, 58.367], [59.4, 60.933], [60.967, 62.433], [66.2, 68.3], [68.1, 70.933], [70.967, 73.233], [79.667, 83.76700000000001], [85.9, 86.06700000000001], [86.03299999999999, 87.7], [88.8, 91.06700000000001], [92.53299999999999, 95.46700000000001], [99.833, 101.2], [104.133, 104.7], [106.56700000000001, 107.633], [110.03299999999999, 110.93299999999999], [110.867, 112.667], [112.633, 114.23299999999999], [116.1, 122.9], [123.0, 123.1], [125.06700000000001, 126.26700000000001], [130.36700000000002, 131.167], [132.3, 137.7], [142.7, 146.267], [151.3, 153.667], [159.967, 164.6], [167.967, 172.233], [182.4, 185.467], [190.9, 191.933], [197.5, 199.667], [204.067, 204.933], [209.233, 210.333], [210.4, 211.733], [211.833, 212.8], [215.1, 223.7], [215.833, 216.13299999999998], [217.86700000000002, 218.13299999999998], [227.733, 228.1], [235.467, 239.3], [239.233, 239.7], [252.167, 257.933], [264.467, 269.867], [269.9, 271.233], [275.367, 277.9], [290.33299999999997, 296.5], [301.1, 303.867], [305.767, 310.267], [312.7, 315.233], [315.367, 317.66700000000003], [322.033, 324.033], [328.833, 329.733], [329.967, 338.833], [341.467, 343.86699999999996], [345.9, 354.667], [365.7, 367.1], [366.533, 367.56699999999995], [370.0, 373.767], [373.733, 374.1], [374.833, 383.86699999999996], [383.733, 385.8], [385.93300000000005, 386.13300000000004], [388.333, 389.63300000000004], [390.6, 391.233], [392.667, 395.2], [397.2, 400.3], [400.233, 402.267], [402.2, 406.833], [406.8, 409.233], [418.06699999999995, 419.667], [426.1, 430.36699999999996], [432.033, 434.667], [434.56699999999995, 437.43300000000005], [444.167, 445.533], [445.43300000000005, 452.7], [455.56699999999995, 456.233], [456.167, 461.833]]
6	[[9.9, 11.232999999999999], [18.333, 19.433], [26.666999999999998, 27.333000000000002], [27.3, 28.3], [28.166999999999998, 28.6], [33.033, 33.967], [39.233000000000004, 46.0], [47.733000000000004, 51.5], [56.2, 57.2], [58.733000000000004, 59.367], [363.667, 365.667]]
7	[[39.233000000000004, 46.0], [47.733000000000004, 51.5], [56.2, 57.2], [92.06700000000001, 92.5]]
8	[[132.3, 137.7], [142.7, 146.267]]
9	[[275.867, 276.2]]
10	[[277.933, 279.567]]
11	[[409.267, 410.86699999999996], [410.8, 411.533], [413.4, 417.233], [425.06699999999995, 426.06699999999995], [430.767, 432.0], [437.467, 442.233]]
12	[[455.56699999999995, 461.833]]
